"loader_table","field","required","description"
"parties","user_py_code","required","User provided party identifier. Required. Primary Key for Parties."
"parties","surname","best practice","Last name"
"parties","given_name","commonly used","First name"
"parties","middle_name","sometimes used","Middle name"
"parties","organization_name","best practice","Organization of party"
"parties","email","commonly used","Email address"
"parties","orcid","sometimes used","ORCID of party"
"parties","ror","sometimes used","ROR of organization"
"references","user_rf_code","required","User provided reference identifier. Primary Key for references."
"references","doi","best practice","A Digital Object Identifier - a digital identifier for any object of intellectual property. A DOI provides a means of persistently identifying a piece of intellectual property on a digital network and associating it with related current data.  (www.doi.org)"
"references","short_name","sometimes used","The 'shortName' field provides a concise or abbreviated name that describes the resource that is being documented."
"references","full_citation","best practice","Full Text of the reference citation."
"references","url","sometimes used","A URL (Uniform Resource Locator) from which this resource can be downloaded or additional information can be obtained."
"projects","user_pj_code","required","User provided project identifier. Primary key for projects."
"projects","project_name","best practice","Project name as defined by the principal investigator."
"projects","project_description","commonly used","Short description of the project including the original purpose for conducting the project. This can be viewed as the project abstract plus supporting metadata."
"projects","start_date","sometimes used","Project start date."
"projects","stop_date","sometimes used","Project stop date."
"plot_observations","vb_pl_code","required","Vegbank plot identifier, primary key for plots table"
"plot_observations","user_pl_code","required","User provided plot identifier, primary key for plots table"
"plot_observations","author_plot_code","required","Author's Plot number/code, or the original plot number if taken from literature."
"plot_observations","vb_parent_pl_code","sometimes used","Vegbank parent plot identifier"
"plot_observations","user_parent_pl_code","sometimes used","User provided parent plot identifier"
"plot_observations","real_latitude","best practice","Full precision latitude"
"plot_observations","real_longitude","best practice","Full precision longitude"
"plot_observations","latitude","sometimes used","Publically visible latitude"
"plot_observations","longitude","sometimes used","Publically visible longitude"
"plot_observations","location_accuracy","commonly used","Estimated accuracy of the location of the plot. Plot origin has a 95% or greater probability of being within this many meters of the reported location."
"plot_observations","confidentiality_status","??","Are the data to be considered confidential? 0=no, 1= 1km radius, 2=10km radius, 3=100km radius, 4=location embargo, 5=public embargo on all plot data, 6=full embargo on all plot data. This applies also to region."
"plot_observations","confidentiality_reason","??","The reason for confidentiality.  This field should not be open to public view.  Reasons might include specific rare species, ownership, prepublication embargo, or many other reason"
"plot_observations","author_e","commonly used","Original E-W coordinate as recorded by the author"
"plot_observations","author_n","commonly used","Original N-S coordinate as recorded by the author"
"plot_observations","author_zone","commonly used","Original UTM zone reported by the author"
"plot_observations","author_datum","commonly used","Original datum reported by the author"
"plot_observations","author_location","commonly used","Original location as described by author (e.g. Town-Range-Section)"
"plot_observations","location_narrative","commonly used","Text description that provides information useful for plot relocation."
"plot_observations","azimuth","commonly used","This element stores the azimuth of the x-axis used to describe the relative coordinate system for plot shape (dsgpoly) and other spatial information about the plot. Typically the azimuth is parallel to the long axis of the plot (in the case of a rectangle)."
"plot_observations","dsgpoly","sometimes used","This field is a text string containing the points circumscribing a plot area.  These points are anticipated to have been collected using tapes, GPS, or calculated from the plot shape and area. Points are X-Y coordinates in m relative to plot origin."
"plot_observations","shape","commonly used","Shape of the plot area."
"plot_observations","area","best practice","Total area of the plot in m2.  If many subplots, this area includes the subplots and the interstitial space.  RESERVED VALUE: -1 is used to indicate that the plot had no boundaries."
"plot_observations","stand_size","commonly used","The extent of this community occurrence in relation to the plot size: very extensive (>1000x plot), extensive (>100x plot), large (10-100x plot), small (3-10x plot), very small (1-3x plot)."
"plot_observations","placement_method","commonly used","Brief description of strategy for determining plot placement within the stand."
"plot_observations","permanence","best practice","Is the plot monumented so as to assure permanence?  If so, this should be described in the layoutNarrative"
"plot_observations","layout_narrative","commonly used","Text description of and the rationale for the layout of the plot."
"plot_observations","elevation","commonly used","The elevation of the plot origin in meters above sea level."
"plot_observations","elevation_accuracy","sometimes used","The accuracy of the elevation in meters."
"plot_observations","elevation_range","sometimes used","Meters of difference in elevations of the high and low points in the plot."
"plot_observations","slope_aspect","commonly used","Representative azimuth of slope gradient (0-360 degrees); if too flat to determine = -1; if too irregular to determine = -2."
"plot_observations","min_slope_aspect","sometimes used","Minimum azimuth of slope gradient (0-360 degrees), counterclockwise from representative azimuth."
"plot_observations","max_slope_aspect","sometimes used","Maximum azimuth of slope gradient (0-360 degrees), clockwise from representative azimuth"
"plot_observations","slope_gradient","commonly used","Representative inclination of slope in degrees; if too irregular to determine, = -1."
"plot_observations","min_slope_gradient","sometimes used","Minimum inclination of slope in degrees."
"plot_observations","max_slope_gradient","sometimes used","Maximum inclination of slope in degrees."
"plot_observations","topo_position","commonly used","Position of the plot on land surface (e.g., Summit, shoulder, upper slope, middle slope, lower slope, toeslope, no slope, channel bed, dune swale, pond)."
"plot_observations","landform","commonly used","A recognizable physical feature on the surface of the earth, often including consideration of the natural cause of its formation."
"plot_observations","surficial_deposits","commonly used","Surficial deposits represent the parent material that are the geologic or organic precursors to the soil.  They may either have been deposited by geologic (wind, ice, gravity or water) or biologic (organic) activity, or formed in place more-or-less directly from rocks and minerals below."
"plot_observations","rock_type","commonly used","RockType values conform to the lithic types in the FGDC Soil Geographic Data Standards, September 1997. http://www.fgdc.gov/standards/documents/standards/soils/soil997.PDF (pages 56-59)."
"plot_observations","state_province","commonly used","State, province of the location."
"plot_observations","country","commonly used","Country of the physical address."
"plot_observations","user_ob_code","required","User provided observtion identifier, primary key for observation."
"plot_observations","user_pj_code","sometimes used","User provided project identifier, primary key for projects table."
"plot_observations","vb_pj_code","sometimes used","Vegbank project identifier."
"plot_observations","author_obs_code","required",NA
"plot_observations","vb_prev_ob_code","sometimes used","Vegbank previous observation identifier."
"plot_observations","obs_start_date","best practice","The date of the observation, or the first day if the observation spanned more than one day."
"plot_observations","obs_end_date","sometimes used","If the observation event spanned more than a single day, this is the last day on which observations were made."
"plot_observations","date_accuracy","sometimes used","Estimated accuracy of the observation date."
"plot_observations","vb_cm_code","sometimes used","Vegbank cover method identifier."
"plot_observations","cover_dispersion","commonly used","Were cover values for the total taxon list collected from one contiguous area or dispersed subplots?"
"plot_observations","auto_taxon_cover","sometimes used","TRUE indicates that taxonObservation.taxonCover was automatically calculated from the values of all stratumObservation.taxonStratumCover"
"plot_observations","vb_sm_code","sometimes used","Vegbank strata method identifier"
"plot_observations","method_narrative","commonly used","Additional metadata helpful for understanding how the data were collected during the observation event."
"plot_observations","taxon_observation_area","best practice","the total surface area (in m^2) used for cover estimates and for which a complete species list is provided.  If subplots were used, this would be the total area of the subplots without interstitial space.  RESERVED VALUE: -1 is used to indicate the complete list of species had no known boundaries."
"plot_observations","stem_size_limit","sometimes used","Lower diameter limit in centimeters for inclusion of a tree in the stem count (stemCount)."
"plot_observations","stem_observation_area","sometimes used","the total surface area (in m^2) observed for recording woody stem data.  RESERVED VALUE: -1 means no known area."
